x,y,Al,Ca,Cu,Fe,K,Mg,Mn,Nmin,P,pH
6,11,3881.41913268327,198.713540149237,2.16681605527115,408.928903811916,62.0767850409922,27.1110348321081,0.366229517176655,-8.78302288492383,14.9772163114719,4.28645355818955
6,12,3832.16767764797,194.157973802518,2.02493622762374,351.729411197212,61.240982537407,25.5416993714794,3.69792795072369,-9.07384543005909,12.3874368795859,4.42916116510185
6,13,3789.0160951455,189.453590541377,1.90671301883025,328.412307633799,57.6712978259172,24.2389907551558,8.3967293491118,-8.78282401926158,10.0534597278348,4.63098913885664
6,14,3712.90689920191,159.746671370521,1.70363991514506,298.600825978286,53.6976925588941,22.4876268195472,3.40709213688912,-7.4080931555559,8.50693776890803,4.80982224103301
6,15,3660.03051556243,132.273375989263,1.44590486054888,260.822588602487,49.4088626541104,20.2406380083781,0.293438494863312,-5.510226564937,7.24441139762731,4.84236718904436
6,16,3598.59956897077,128.655985379959,1.35138725792422,402.782083072011,45.873518367072,20.0431824188022,0.0726110867267179,-4.90799505983798,5.865466071619,4.69409397692984
6,17,3516.46949558414,134.855197096985,1.45834133417103,602.358078427417,42.4518085594602,20.4267992442301,0.133043934794476,-4.11634055829683,6.85937743133942,4.59991635697742
6,18,3565.49869883925,124.912384593707,1.7289485503258,534.789080240937,40.6302703340389,19.2820107654148,0.427482683071822,-5.34235693583761,12.1413945510861,4.69449877981487
6,19,3595.45706187035,115.186987451171,1.77316048691146,459.593001349523,37.8549993640512,17.7969804208359,1.22792841872205,-6.35557873383088,14.6088322898684,4.82852821852687
6,20,3640.77134185181,105.733264402752,1.76147904586257,478.310011232139,34.5877976601596,15.2119795173495,2.77644520510444,-6.75845454812336,11.4810733089107,4.84493452934026
6,21,3648.00962909768,97.5088549932336,1.63001254871479,521.461137710962,33.9921131851806,14.6242422213355,4.6538163367684,-7.08647649543004,6.97565110973086,4.77330225115122
6,22,3598.4820004525,95.566302132739,1.57840559063361,446.248842109877,34.469436517602,15.2752087727572,8.21367002833512,-6.8901399537655,5.25739496728063,4.75054851629256
6,23,3546.92851089616,92.8591946632,1.45127808602192,383.511761455675,36.7480369893329,15.4836858546779,9.63449073528402,-6.36072745261762,4.11286885738717,4.76649144933695
6,24,3536.15277224595,99.6830671848962,1.55215437049342,383.615438517731,41.2817420593097,16.8672297643255,8.14929303577574,-6.44401502059003,5.61087405767808,4.76006636565812
6,25,3536.57156891106,107.083031633973,1.71227348649125,377.080435334944,44.9535710975768,18.1895942201111,6.69077953581043,-6.62709212085586,8.46916663284276,4.75647188238394
7,1,3087.4572306487,407.948760117897,2.92480828346731,1192.14401978338,91.7367997160983,50.7411884703221,8.43408510603784,-3.29638046722581,60.8105045344277,4.17026998982432
